Class	Name	X-Locate	Y-Locate	Data
1	anchor-3	7574.964	-3667.866	
1	anchor-7	-4195.852	-8554.282	
1	anchor-11	-4637.015	1946.656	
1	grt1-north	-1295.800	-2787.449	
1	grt1-south	-1821.737	-5206.072	
1	grt2-north	-116.745	249.394	
1	grt2-south	-676.752	-1861.903	
1	grt3-north	1478.071	-2065.182	
1	grt3-south	1370.159	-4373.703	
1	grt1-west	-2249.621	-3912.695	
1	grt1-east	-718.299	-4177.479	
1	grt2-core	-484.865	-808.325	
1	grt2-rim	382.543	-1086.071	
1	grt2-rim	-1327.728	-725.631	
0	origin	0.000	0.000	
0	g1-Xray	-1458.000	-4025.000	
0	g1-cpx-01	-1941.146	-3830.499	
0	g1-cpx-02	-1902.366	-3712.033	
0	g1-cpx-03	-1179.760	-3391.712	
0	g1-cpx-04	-1041.837	-3470.606	
0	g1-cpx-05	-1399.509	-3634.572	
0	g1-cpx-06	-1941.945	-4570.696	
0	g1-cpx-07	-1803.687	-4607.608	
9	g1-cpx-08	-1902.654	-4259.851	
9	g2-cpx-01	-1106.735	-671.343	
9	g2-cpx-02	-1054.505	-549.144	
9	g2-cpx-03	-744.707	-469.970	
9	g2-cpx-04	-421.701	-686.474	
9	g2-cpx-05	-106.448	-1153.960	
36	3533	-1974.212	-3825.999	
36	3534	-1987.412	-3817.021	
36	3535	-1996.731	-3897.828	
0	3540	-1074.906	-3470.384	
0	3541	-1291.160	-4415.057	
0	3542	-1362.400	-4419.108	
0	3543	-1334.489	-3744.717	
0	3544	-177.064	-1164.639	
0	3545	-486.546	-707.870	
0	3546	-1150.738	-668.044	
0	3547	-1074.648	-546.045	
27	4059	-1350.168	-3826.093	ref_grt_bcg12g1@4059
27	4060	-1176.269	-3911.706	tt_grt_bcg12g1@4060
27	4061	-1304.231	-3830.985	ref_grt_bcg12g1@4061
27	4062	-1039.379	-3935.295	tt_grt_bcg12g1@4062
27	4063	-1258.294	-3835.876	ref_grt_bcg12g1@4063
27	4064	-928.814	-3940.058	tt_grt_bcg12g1@4064
27	4065	-1353.134	-3854.819	ref_grt_bcg12g1@4065
27	4066	-830.948	-3950.479	tt_grt_bcg12g1@4066
27	4067	-1307.197	-3859.710	ref_grt_bcg12g1@4067
27	4068	-715.131	-3972.826	tt_grt_bcg12g1@4068
27	4069	-1261.260	-3864.602	ref_grt_bcg12g1@4069
27	4070	-600.211	-3994.076	tt_grt_bcg12g1@4070
27	4071	-657.620	-3982.955	tt_grt_bcg12g1@4071
27	4072	-1356.202	-3884.535	ref_grt_bcg12g1@4072
27	4073	-773.539	-3961.599	tt_grt_bcg12g1@4073
27	4074	-1310.266	-3889.427	ref_grt_bcg12g1@4074
27	4075	-888.357	-3939.359	tt_grt_bcg12g1@4075
27	4076	-1264.329	-3894.318	ref_grt_bcg12g1@4076
27	4077	-993.544	-3941.177	tt_grt_bcg12g1@4077
27	4078	-1359.169	-3913.261	ref_grt_bcg12g1@4078
27	4079	-1127.667	-3929.900	tt_grt_bcg12g1@4079
27	4080	-1313.232	-3918.152	ref_grt_bcg12g1@4080
27	4081	-1242.281	-3905.679	tt_grt_bcg12g1@4081
27	4082	-1267.295	-3923.044	ref_grt_bcg12g1@4082
0	bcg12g2-bse@3561	1276.834	-3431.860	
0	bcg12g2-bse@3562	1078.216	-2509.675	
0	bcg12g2-bse@3563	1821.378	-3073.100	
